id,job_title,openings,status,created_at,updated_at,provider_id,salary,salary_type,provider_name,provider_location,provider_industry,provider_contact_number,description
61,Delivery Boy,3,Open,2025-10-14 00:00:00,2025-10-14 00:00:00,PID0061,20500,Monthly,,"Karoor, Pattom, Vazhuthacaud",Logistics & Transport,,"Transport goods from warehouse to customers. Handle packages carefully and collect cash on delivery when needed."
62,Beauty Therapist,3,Open,2025-09-07 00:00:00,2025-09-10 00:00:00,PID0062,21000,Monthly,,"Thampanoor, Palayam, Statue",Beauty & Wellness,,"Provide beauty treatments including facials, massages, and body treatments. Maintain hygiene and client satisfaction."
63,Hair Stylist,1,Closed,2025-09-09 00:00:00,2025-09-10 00:00:00,PID0063,23500,Monthly,,"Pattom, Kowdiar, Nanthancode",Beauty & Wellness,,"Cut, color, and style hair for clients. Stay updated with trends and maintain salon cleanliness."
64,Cook,2,Open,2025-09-02 00:00:00,2025-09-07 00:00:00,PID0064,23000,Monthly,,"Akkulam, Technopark, Kazhakkoottam",Food & Beverage,,"Prepare food items following recipes. Maintain kitchen organization and adhere to food safety regulations."
65,Cook,1,Closed,2025-09-06 00:00:00,2025-09-08 00:00:00,PID0065,22500,Monthly,,"Piravantoor, Balaramapuram, Neyyattinkara",Food & Beverage,,"Cook meals for customers or staff. Handle ingredients properly and maintain a clean cooking environment."
66,HR Executive,3,Urgent,2025-09-25 00:00:00,2025-09-28 00:00:00,PID0066,45500,Monthly,,"Kesavadasapuram, Pattom, Ulloor",Finance,,"Handle recruitment, employee relations, and HR administration. Manage payroll processing and policy implementation."
67,Hospital Attendant,2,Urgent,2025-09-02 00:00:00,2025-09-07 00:00:00,PID0067,19500,Monthly,,"Vazhuthacaud, PMG, Thycaud",Healthcare,,"Support hospital operations by assisting patients, maintaining equipment, and helping medical staff."
68,Mason,2,Open,2025-10-15 00:00:00,2025-10-17 00:00:00,PID0068,24500,Monthly,,"Thampanoor, East Fort, Chalai",Construction,,"Build and repair structures using bricks, blocks, and concrete. Read construction plans and ensure quality work."
69,Quality Assurance Officer,2,Urgent,2025-09-17 00:00:00,2025-09-20 00:00:00,PID0069,26000,Monthly,,"Nedumangad, Vithura, Aruvikkara",Retail,,"Monitor and test products for quality compliance. Identify defects and work with teams to resolve issues."
70,Tailor,3,Urgent,2025-10-05 00:00:00,2025-10-10 00:00:00,PID0070,19500,Monthly,,"Chelari, Attingal, Varkala",Textiles,,"Sew and alter garments to fit customers. Work with various fabrics and handle custom orders."
71,Receptionist,2,Hold,2025-09-30 00:00:00,2025-10-05 00:00:00,PID0071,18500,Monthly,,"Nedumangad, Kattakada, Palode",IT & Technology,,"Manage front desk operations, greet visitors, and coordinate administrative activities."
72,Car Salesman,1,Open,2025-09-15 00:00:00,2025-09-19 00:00:00,PID0072,26000,Monthly,,"Kazhakkoottam, Sreekaryam, Technopark",Automotive,,"Sell automobiles to customers. Demonstrate vehicle features and assist with financing options."
73,Chef,4,Open,2025-10-03 00:00:00,2025-10-08 00:00:00,PID0073,29000,Monthly,,"Aryanad, Vellanad, Nedumangad",Food & Beverage,,"Lead kitchen operations, create dishes, manage inventory, and ensure food quality meets standards."
74,Content Writer,2,Hold,2025-10-09 00:00:00,2025-10-12 00:00:00,PID0074,27000,Monthly,,"Kowdiar, Pattom, Vellayambalam",Media & Entertainment,,"Write articles, blogs, and marketing copy. Research topics thoroughly and meet publishing deadlines."
75,Warehouse Operator,1,Open,2025-09-10 00:00:00,2025-09-11 00:00:00,PID0075,23000,Monthly,,"Pappanamcode, Nemom, Peyad",Logistics & Transport,,"Manage warehouse operations including receiving, storing, and dispatching goods. Operate forklifts and maintain inventory."
76,Security,1,Open,2026-01-15 00:00:00,2026-01-15 00:00:00,PID0076,18000 to 20000,Monthly,,"Neyyattinkara, Kazhakkoottam, Peroorkada",Cooperate,,"Ensure safety and security of premises. Monitor CCTV, patrol assigned areas, and respond to security concerns."
77,Picking and Packing,1,Open,2026-01-20 00:00:00,2026-01-20 00:00:00,PID0077,20000,Monthly,,"Pattom, Thirumala, Poojapura, Kazhakuttam, Peroorkada",Logistics & Transport,,"Responsible for picking items from warehouse shelves and packing them for shipment. Ensure accuracy and package integrity."
78,Loading,1,Open,2026-01-20 00:00:00,2026-01-20 00:00:00,PID0078,25000,Monthly,,"Pattom, Thirumala, Poojapura, Kazhakuttam, Peroorkada",Logistics & Transport,,"Responsible for loading and unloading goods from transport vehicles and containers. Requires physical stamina and safe material handling."
